Date,FeedIn,SelfConsumption,Production,Consumption,Purchased
2018-04-21 00:00:00,33001.0,12608.0,45609.0,18411.0,5803.0
2018-04-22 00:00:00,31973.0,10767.0,42740.0,16084.0,5317.0
2018-04-23 00:00:00,17372.0,7293.0,24665.0,14463.0,7170.0
2018-04-24 00:00:00,33824.0,14223.0,48047.0,19891.0,5668.0
2018-04-25 00:00:00,35692.0,9732.0,45424.0,15740.0,6008.0
2018-04-26 00:00:00,10407.0,7653.0,18060.0,14509.0,6856.0
2018-04-27 00:00:00,34764.0,11270.0,46034.0,16733.0,5463.0
2018-04-28 00:00:00,36340.0,5847.0,42187.0,10168.0,4321.0
2018-04-29 00:00:00,31973.0,4077.0,36050.0,9730.0,5653.0
2018-04-30 00:00:00,12777.0,7308.0,20085.0,14302.0,6994.0
2018-05-01 00:00:00,9949.0,10604.0,20553.0,17104.0,6500.0
2018-05-02 00:00:00,10250.0,8090.0,18340.0,15910.0,7820.0
2018-05-03 00:00:00,9248.0,4337.0,13585.0,12987.0,8650.0
2018-05-04 00:00:00,12382.0,7125.0,19507.0,16113.0,8988.0
2018-05-05 00:00:00,33028.0,9165.0,42193.0,16343.0,7178.0
2018-05-06 00:00:00,35707.0,6119.0,41826.0,11255.0,5136.0
2018-05-07 00:00:00,35184.0,6020.0,41204.0,11468.0,5448.0
2018-05-08 00:00:00,34903.0,11812.0,46715.0,17636.0,5824.0
2018-05-09 00:00:00,28098.0,7056.0,35154.0,12536.0,5480.0
2018-05-10 00:00:00,3823.0,3737.0,7560.0,10332.0,6595.0
2018-05-11 00:00:00,41095.0,9305.0,50400.0,18663.0,9358.0
2018-05-12 00:00:00,37910.0,7563.0,45473.0,13209.0,5646.0
2018-05-13 00:00:00,7837.0,8125.0,15962.0,14686.0,6561.0
2018-05-14 00:00:00,9954.0,4411.0,14365.0,11741.0,7330.0
2018-05-15 00:00:00,8767.0,5346.0,14113.0,12839.0,7493.0
2018-05-16 00:00:00,8608.0,5432.0,14040.0,13251.0,7819.0
